id,icao_24bit,aircraft_code,registration,anomalous,origin_airport_iata,destination_airport_iata,number,airline_icao,callsign,turn1,turn2,turn3,deltaD1,deltaD2,deltaD3,time,latitude,longitude,altitude,ground_speed
3452ce3e,49D03D,C56X,OK-SLX,FALSE,LCA,BEG,SUA611,SUA,SUA611,24,0,7,-325.084956,-352.3195134,-369.5269651,19.5,38.345,26.975,37931.25,381
3452d1c2,452101,B738,LZ-CXB,FALSE,OPO,LEJ,,ADZ,BCS3YK,14,3,7,-401.955568,-377.534192,-773.5528588,20.75,47.505,-0.45,30187.5,391.75
3452d2ce,43C6FA,A332,ZZ337,FALSE,TLL,BZZ,RRR2103,RRR,RRR2103,14,2,26,-329.1106801,-331.6551032,-826.0384995,21,54,14.57,28080,391.2
3452deb9,728839,B739,YI-BAY,FALSE,IST,BGW,IF222,FBA,FBA222,6,9,77,-449.2810891,-343.142562,-413.5762683,20,38.37,39.94,33337.5,509
3452e1f9,501C11,A319,9A-BTJ,FALSE,PRN,MMX,C32011,,TDR2011,30,1,1,-395.2210419,-418.5223926,-411.3691117,20,49.345,15.18,29987.5,430.25
3452e54e,424C03,GL5T,M-AMNM,FALSE,ABJ,ATH,,,MAMNM,44,20,155,-487.7089073,-487.8960343,-284.6559037,11.5,35.795,18.705,30750,412.25
3452e6b0,7816A2,B789,B-20AJ,FALSE,BUD,NGB,FM898,CSH,CSH898,61,305,17,18.51294924,-255.8720438,-443.6025735,21,57.35,20.67,34860.71429,486.1428571
3452e8ca,4.78E+29,E290,LN-WEA,FALSE,TOS,BGO,WF629,WIF,WIF629,12,3,3,-362.0330509,-351.7852259,-339.523064,20,65.14,10.675,29625,363.25
3452ea7a,,GL5T,,FALSE,,,,,GL5T,4,10,3,0,0,0,11.5,43.035,28.95,43487.5,515
3452f7ca,3E27AC,PA34,D-IGFK,FALSE,NUE,,,,DIGFK,51,233,251,0,0,0,10.44444444,49.95,9.29,3777.777778,126.5555556
3452f911,781093,B789,B-1566,FALSE,AMS,XMN,MF812,CXA,CXA812,1,13,4,-454.1315313,-895.1184101,-442.5088925,21.6,59.75,31.62,34595,482.6
34530020,4075C1,B789,G-CKWN,FALSE,SID,LGW,BY305,NBT,TOM2EJ,1,2,3,-450.4401827,-437.3781645,-428.6344163,15,42.73,-8.645,35850,462.8333333
3453024b,400F63,A346,G-ECLN,FALSE,CTU,BOH,SE601,URO,URO601,1,20,9,-334.2761896,-298.5547857,-268.2181834,5.3,43.475,27.53,37000,424.6
34530349,7000A2,A343,,FALSE,LDE,DWC,RQ5501,,KMF5501,68,4,19,-400.8862421,-384.2745328,-828.6383192,21,41.59,12.29,38800,493.4
34530467,3A3280,B789,F-OMUA,FALSE,LAX,CDG,TN8,THT,THT8,10,20,106,-469.8621454,-490.3759557,-331.9677685,5,52.945,-3.405,30231.25,447.5
3.45E+07,5110A5,SF34,ES-LSB,FALSE,FRA,VAR,AEG421,,AEG421,9,2,2,-210.9610655,-197.3495036,-403.0016873,19,45.935,21.005,23437.5,230.5
34530ddf,,GLEX,,FALSE,,,,,GLEX,21,7,6,0,0,0,3.8,46.11,-0.31,31405,385.8
345318ed,7802FE,B744,B-2423,FALSE,LGG,KGF,O37418,CSS,CSS7418,13,53,2,-395.9834412,-911.0105718,-415.214764,21.83333333,55.935,29.515,32337.5,488.6666667
345321ff,400215,GLF5,VP-CMS,FALSE,BUD,ADJ,,,VPCMS,3,10,22,-416.5538288,-891.5454384,-452.2412314,21.25,41.08,27.125,40443.75,479.75
345325a6,781783,B789,B-20D1,FALSE,MXP,CGO,HO1668,DKH,DKH1668,1,11,25,-628.7725992,-434.9893973,-445.9049115,18.5,42.915,31.67,35658.33333,531.8333333
