id,icao_24bit,aircraft_code,registration,origin_airport_iata,destination_airport_iata,flight_no,airline_icao,callsign,time,duration,latitude,longitude,altitude,ground_speed,turn1,turn2,turn3,turn4,deltaD1,deltaD2,deltaD3,deltaD4
347b58ce,4BB165,B77W,TC-LKE,IST,BOM,6E18,IGO,IGO018,46.233333333333334,20.40416666666667,38.83,38.62,34906.25,483.125,24,4,1,56,0.0,0.0,368.3104023444915,-368.3104023444915
347b5996,096028,B38M,D4-CCJ,BGY,SID,VR631,TCV,TCV631,32.21666666666667,20.278787878787877,39.12,-1.18,34854.545454545456,399.1818181818182,0,4,4,10,0.0,0.0,0.0,251.72116147558856
347b59fc,407E4C,E55P,G-NHHG,AGP,SEN,,VCG,VCG2HG,46.2,20.908333333333335,43.879999999999995,-2.665,40209.375,411.625,0,1,1,8,953.3820639704512,-953.3820639704512,2212.8684917463515,-2212.8684917463515
347b5c97,485D61,E145,PH-DWA,KEF,LGG,AGR1943,AGR,AGR1943,46.233333333333334,20.152083333333334,58.24,-4.82,37012.5,486.25,1,14,3,24,0.0,0.0,0.0,0.0
347b5dbf,738286,A320,4X-ABI,GNB,TLV,6H146,ISR,ISR146,45.11666666666667,22.158333333333335,35.7,27.27,35025.0,447.25,5,1,5,0,-5855.109553474618,1397.1261337171356,-2517.075612298968,0.0
347b5ded,AA9808,B788,N782AV,MAD,BOG,AV11,AVA,AVA011,44.95,19.645833333333332,40.285,-11.735,37768.75,500.5,1,2,10,0,0.0,0.0,1482.147369573073,0.0
347b5e90,477FF2,C17,08-0002,RZE,,,BRK,BRK85,1.0333333333333334,19.523333333333333,55.72,17.09,36000.0,447.8,1,1,2,11,0.0,0.0,0.0,0.0
347b6004,06A1D2,GLF6,A7-CGN,DIA,LIN,QE985,QQE,QQE985,4.516666666666667,19.067857142857147,43.82,24.705,38194.642857142855,438.2857142857143,22,1,47,24,-2803.584203140797,-2338.4992721388144,-255.70725455773777,-397.66150866407304
347b6085,424502,B738,VQ-BHE,MUC,DYU,SZ122,SMR,SMR122,33.41666666666667,21.030000000000005,42.26,33.71,35000.0,463.46666666666664,2,2,2,15,0.0,330.496108539203,-330.496108539203,0.0
347b608c,867FAC,B77W,JA733J,CDG,HND,JL46,JAL,JAL46,18.433333333333334,21.65833333333334,41.33,33.19,31476.785714285714,498.7142857142857,0,2,4,25,-1370.3821505249496,-744.7232008571798,0.0,1579.412807481112
347b6225,39CE24,A359,F-HTRE,ORY,EWR,BF720,FWI,FBU72J,31.15,20.28095238095238,51.63,-10.03,37142.857142857145,378.7142857142857,11,2,1,7,0.0,0.0,0.0,0.0
347b6322,0101A7,A320,SU-BQK,NTE,LXR,NP7156,NIA,NIA7156,32.233333333333334,20.53030303030303,39.19,13.63,35002.27272727273,492.45454545454544,4,1,15,13,0.0,0.0,1818.027171095343,950.1745786169436
347b64cb,7807D6,A332,B-6538,LHR,PVG,MU534,CES,CES534,3.35,21.283333333333335,61.19,23.86,33461.53846153846,496.0,33,2,0,34,0.0,382.5097550981319,1246.4477582671611,-236.19116103636975
347b6548,4BB721,A321,TC-MYA,DWC,IST,MB704,MNB,MNB704,2.2666666666666666,22.054761904761904,39.15,36.27,35192.857142857145,425.57142857142856,1,0,55,14,-7001.775511815099,0.0,5968.403902063041,-5968.403902063041
347b6636,4B8392,DRON,TC-J1,,,,HVK,,46.083333333333336,17.408333333333335,38.260000000000005,26.41,17012.5,102.125,52,80,142,150,9934.11428563166,-9934.11428563166,1153.1192589698403,4771.405541584486
347b6710,150640,GL5T,RA-67136,IST,VKO,RSJ7136,RSJ,RSJ7136,31.2,21.533333333333335,49.65,43.88,40135.71428571428,458.85714285714283,51,9,28,24,-1958.9061003932338,484.4676887715567,67.74147414503966,880.6079043037303
347b69b1,780EF8,A333,B-8287,SVO,PEK,HU7986,CHH,CHH7986,45.11666666666667,19.904166666666665,56.18,47.135000000000005,36993.75,522.0,4,3,3,0,0.0,0.0,0.0,0.0
347b6b49,010237,A320,SU-NML,CGN,HRG,NE6304,NMA,NMA6304,47.31666666666667,22.158333333333335,42.855000000000004,22.715,36000.0,468.0,4,1,2,31,-181.4305277892081,-457.5613888364592,0.0,0.0
347b6bb9,E8021C,B763,CC-CXE,FRA,SID,UC1506,LCO,LCO1506,3.3833333333333333,22.28333333333334,43.62,-5.67,33126.92307692308,440.9230769230769,6,31,2,23,0.0,649.5730156038215,320.3613993499521,8156.99950589497
347b6ca7,4B990D,A320,TC-FHM,GZP,IKA,FH941,FHY,FHY941,16.166666666666664,19.897222222222222,36.825,41.51,36995.833333333336,507.5,1,6,0,11,0.0,0.0,0.0,0.0
347b6cce,151FDB,A320,RA-73691,AER,TJM,YC886,LLM,LLM886,45.11666666666667,20.154166666666665,44.025,48.769999999999996,35000.0,457.25,4,57,1,0,-323.31420342317926,0.0,0.0,0.0
347b6d21,4D2372,A332,9H-TQP,STN,ISB,,HFY,HFM640P,49.65,19.507500000000004,43.405,25.915,40752.5,479.0,27,2,15,33,0.0,62.9984709586869,326.3277151149026,2722.0890209020617
347b6e37,151E2E,B737,RA-73262,VKO,YKS,R3474,SYL,SYL474,45.15,19.645833333333332,57.599999999999994,46.465,35000.0,498.75,4,3,3,0,3480.895527654069,-3480.895527654069,0.0,0.0
347b6fac,501D1D,A319,9A-CTH,LHR,ZAG,OU491,CTN,CTN82W,45.11666666666667,20.408333333333335,48.76,10.205,35993.75,496.5,9,4,6,0,0.0,1242.9501936003242,-1242.9501936003242,0.0
347b701d,AAC33E,B788,N793AV,LHR,BOG,,AVA,AVA121D,45.03333333333333,20.658333333333335,47.91,-12.79,37999.0,464.25,4,0,0,0,0.0,302.85818781338577,344.71536507385457,0.0
347b7026,155C2F,SU95,RA-89135,MRV,CEE,D294,SSF,SSF94,17.233333333333334,20.401666666666664,50.120000000000005,43.935,36622.5,411.1,278,53,43,8,0.0,0.0,0.0,0.0
347b70e4,E494A2,E390,FAB2854,LPA,CIA,BRS505,BRS,BRS505,47.4,18.908333333333335,39.185,0.35500000000000004,30208.333333333332,416.3333333333333,13,7,11,82,1041.8227555654112,388.4809682146488,-1732.9892255125967,-260.4097537184005
347b7185,478DF2,E290,LN-WEB,BGO,TOS,WF628,WIF,WIF8T,45.166666666666664,19.904166666666665,64.95,10.985,41000.0,457.5,2,0,2,0,1288.8162436444293,-507.86814793852056,5100.307048310372,0.0
