,id,icao_24bit,aircraft_code,registration,anomalous,origin_airport_iata,destination_airport_iata,flight_no,airline_icao,callsign,turn1,turn2,turn3,deltaD1,deltaD2,deltaD3,time,latitude,longitude,altitude,ground_speed
84,347bb9d7,503D6E,A332,LY-MAC,0,IST,TAS,HY274,UZB,UZB274,0.010552363459878934,0.06181808594692605,0.015894241891121496,0.03633275091757986,0.041197907047223405,0.09730024165158704,0.0011883657071597744,40.975,42.63,0.9999193652477066,0.012643211204814752
85,347bbace,781F03,B77L,B-223G,0,STN,CAN,CSG2532,CSG,CSG2532,0.07386654421915254,0.048080733514275824,0.011920681418341121,0.0768036947808923,0.14287327480517512,0.024003990802992474,0.0014218305735022856,60.08,20.215,0.999880853377135,0.015370668418540004
86,347bbd92,4D2302,B38M,9H-VUD,0,AGP,NRN,FR8613,MAY,RYR7BM,0.05012372643442494,0.013737352432650235,0.05761662685531542,0.03469749600299802,0.26087284129370686,0.0,0.0014870254540425862,46.575,0.3,0.9999068124421667,0.013570379030995406
87,347bbf5e,869560,B77W,JA795A,0,LHR,HND,NH212,ANA,ANA212,0.005276181729939467,0.0824241145959014,0.021854582600292057,-0.01146568236214377,-0.0030733420491818484,-0.00166230779524605,0.0011007478094436968,48.48,17.9,0.9998540981837959,0.017046134439460504
88,347bc04e,060030,A359,3B-NBQ,0,LGW,MRU,MK53,MAU,MAU53,0.10552363459878934,0.20606028648975352,0.009933901181950935,0.0036269143911240908,0.015622614349252677,0.025441177908983342,0.0009472725250283197,43.67,13.99,0.9998815404781217,0.015362541647186458
89,347bc373,4A04E2,A320,YR-AGB,0,HRG,OTP,A24105,AWG,AWG4105,0.0026380908649697335,0.013737352432650235,0.6000076313898365,0.04149378077522782,0.0,0.14374854631843992,0.0014987013605808218,39.68,25.65,0.9999215624876637,0.012434740305323407
90,347bc467,01023F,B738,SU-RSB,0,,,4S3113,RSX,RSX3113,0.015828545189818403,0.03434338108162559,0.029801703545852803,-0.05654083694422632,-0.03522701910193011,-0.0361815229063813,0.0012753075866958339,40.1,24.585,0.9999257393884062,0.012119789565345682
91,347bc57c,39B117,A35K,F-HMIX,0,ORY,RUN,BF700,FBU,FBU70A,0.023742817784727602,0.013737352432650235,0.01788102212751168,-0.009522702234490787,0.02498272113676922,0.1303764157978328,0.0005072193370465975,41.25,15.7,0.9998737468213392,0.015881849577437948
92,347bc8dd,3C56A3,A321,D-AEUC,0,FRA,IST,LH8346,GEC,GEC8346,0.05276181729939467,0.02060602864897535,0.003973560472780374,-0.02380415924685131,-0.020095093533233743,-0.015232719917228738,6.924236417822058e-05,44.78,19.91,0.9999110293736372,0.013338985810332764
93,347bcd02,781112,B789,B-7838,0,AMS,XMN,MF812,CXA,CXA812,0.005276181729939467,0.0412120572979507,0.007947120945560748,-0.20122119822940535,-0.329286244282196,-0.24960944438757643,0.0005353857193401662,57.605,21.770000000000003,0.9998676129043873,0.016262534458494363
94,347bd05b,600012,B735,EK-SHC,0,UFA,EVN,5G101,SHS,SHS101,0.039571362974546005,0.1648482291918028,0.07152408851004673,0.007993784010849282,0.22338709567491463,0.01370275918995022,0.0013603077652107416,45.14,50.47,0.9999254373731427,0.012135454540866
95,347bd330,781F74,A359,B-32EE,0,AMS,PKX,CZ346,CSN,CSN346,0.010552363459878934,0.006868676216325117,0.03377526401863318,-0.2226605873206977,-0.18796653483848744,-0.1424846106972033,6.409791672648232e-05,59.06,18.47,0.9998967585270203,0.014369000612929417
96,347bd972,7C4923,A388,VH-OQD,0,LHR,SIN,QF2,QFA,QFA2,0.03429518124460654,0.08929279081222652,0.011920681418341121,0.0,0.0,0.0,0.001461002754625083,47.67,11.91,0.9998688279312101,0.01613048053900074
97,347bdb52,731A2D,A306,EP-FQM,0,IST,IKA,QB2214,QSM,QSM2214,0.005276181729939467,0.03434338108162559,0.01986780236390187,-0.05471581345375772,-0.04504192292828184,-0.06316254538795106,0.0013217729935588317,39.045,39.73,0.9999034078300459,0.013835748119063122
98,347bdd3d,4D21E6,B738,9H-SHO,0,PRG,TLV,BZ461,BBG,BBG461,0.010552363459878934,0.013737352432650235,0.021854582600292057,0.04368045331606095,0.002779885644726914,-0.0037288900253365643,7.037469754030591e-05,44.2,21.66,0.99990716088518,0.013625881914232564
