,latitude,d_airport,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,flight_no,airline_iata,on_ground,vertical_speed,callsign,airline_icao
214,49.19,0.0,-8.98,347b701d,AAC33E,245,38000,459,,B788,N793AV,1711217825,LHR,BOG,,,0,-64,AVA121D,AVA
227,52.08,971.6149747730877,3.76,347a3160,7810C6,238,38000,449,,A332,B-8776,1711217825,CKG,LHR,GS7965,GS,0,0,GCR7965,GCR
229,42.68,0.0,17.54,347b24c9,4B028C,311,38000,417,,E290,HB-AZC,1711217825,HRG,ZRH,2L719,2L,0,0,OAW719,OAW
234,43.68,0.0,41.95,347b2484,140AC5,270,38000,445,,E35L,RA-02757,1711217823,TAS,,DXT9657,DX,0,-64,DXT9657,DXT
292,57.26,401.3510989443073,-11.76,347b49c3,C023C8,283,37975,428,,B789,C-FNOH,1711217825,FRA,YYZ,AC843,AC,0,64,ACA843,ACA
295,46.26,0.0,6.47,347b124c,511170,47,37975,463,,A20N,ES-MBA,1711217825,TFS,MUC,DI6585,DI,0,-64,MBU6585,MBU
333,57.52,0.0,-3.45,347b5c97,485D61,132,37025,476,,E145,PH-DWA,1711217826,KEF,LGG,AGR1943,AG,0,128,AGR1943,AGR
336,49.33,0.0,8.88,347b6fac,501D1D,120,37025,491,,A319,9A-CTH,1711217823,LHR,ZAG,OU491,OU,0,64,CTN82W,CTN
401,42.25,1443.739215235423,35.33,347b24fc,600B22,93,37000,454,,B744,4K-BCH,1711217823,LGG,GYD,7L752,7L,0,0,AZG752,AZG
422,35.43,0.0,28.33,347b1464,4D2475,115,37000,472,,B738,9H-KAR,1711217824,FCO,TLV,BZ131,BZ,0,0,BBG131,BBG
426,34.34,1001.0028516714789,24.08,347b3990,060040,138,37000,525,,A359,3B-NCE,1711217824,CDG,MRU,MK15,MK,0,0,MAU15,MAU
473,56.12,0.0,52.9,347b69b1,780EF8,94,37000,514,,A333,B-8287,1711217823,SVO,PEK,HU7986,HU,0,0,CHH7986,CHH
527,49.15,0.0,44.63,347b7026,155C2F,337,37000,289,,SU95,RA-89135,1711217823,MRV,CEE,D294,D2,0,0,SSF94,SSF
599,37.86,0.0,45.35,347b6ca7,4B990D,99,36975,470,,A320,TC-FHM,1711217823,GZP,IKA,FH941,FH,0,0,FHY941,FHY
615,41.84,0.0,22.45,347b82a7,501024,89,36175,435,,A320,ZA-MMK,1711217825,TIA,IST,ZB1003,ZB,0,768,ABN1003,ABN
616,39.63,0.0,30.03,347ad926,04016C,336,36150,394,,B38M,ET-AWI,1711217825,ADD,IST,ET722,ET,0,-960,ETH722,ETH
